time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
219316,0,0,0,0,0,0,2,0
251674,0,0,0,0,0,0,3,0
251699,0,0,0,0,0,0,4,0
256418,0,0,0,0,0,0,5,0
256458,0,0,0,0,0,0,6,0
256459,0,0,0,0,0,0,7,0
258863,0,0,0,0,0,0,8,0
258886,0,0,0,0,0,0,9,0
258888,0,0,0,0,0,0,10,0
259585,0,0,0,0,0,0,11,0
259600,0,0,0,0,0,0,12,0
259609,0,0,0,0,0,0,13,0
262503,0,0,0,0,0,0,14,0
262517,0,0,0,0,0,0,15,0
262523,0,0,0,0,0,0,16,0
268877,0,0,0,0,0,0,17,0
273432,0,0,0,0,0,0,18,0
274530,0,0,0,0,0,0,19,0
276110,0,0,0,0,0,0,20,0
287957,0,0,0,0,0,0,19,1
291767,0,0,0,0,0,0,18,2
308826,0,0,0,0,0,0,19,2
309095,0,0,0,0,0,0,20,2
310067,0,0,0,0,0,0,21,2
310087,0,0,0,0,0,0,22,2
314735,0,0,0,0,0,0,21,3
322266,0,0,0,0,0,0,20,4
323621,0,0,0,0,0,0,19,5
328412,0,0,0,0,0,0,20,5
328414,0,0,0,0,0,0,21,5
340950,0,0,0,0,0,0,20,6
365624,0,0,0,0,0,0,21,6
368092,0,0,0,0,0,0,22,6
370895,0,0,0,0,0,0,21,7
378921,0,0,0,0,0,0,20,8
381592,0,0,0,0,0,0,19,9
396126,0,0,0,0,0,0,20,9
409806,0,0,0,0,0,0,21,9
409827,0,0,0,0,0,0,22,9
420889,0,0,0,0,0,0,23,9
423645,0,0,0,0,0,0,22,10
427463,0,0,0,0,0,0,21,11
434937,0,0,0,0,0,0,20,12
435612,0,0,0,0,0,0,19,13
438136,0,0,0,0,0,0,20,13
445554,0,0,0,0,0,0,21,13
461937,0,0,0,0,0,0,20,14
499454,0,0,0,0,0,0,21,14
507107,0,0,0,0,0,0,20,15
519236,0,0,0,0,0,0,21,15
526225,0,0,0,0,0,0,20,16
552756,0,0,0,0,0,0,21,16
559930,0,0,0,0,0,0,22,16
571052,0,0,0,0,0,0,23,16
580807,0,0,0,0,0,0,24,16
587485,0,0,0,0,0,0,25,16
595709,0,0,0,0,0,0,26,16
611761,0,0,0,0,0,0,25,17
667980,0,0,0,0,0,0,26,17
667990,0,0,0,0,0,0,27,17
681498,0,0,0,0,0,0,26,18
693194,0,0,0,0,0,0,27,18
693196,0,0,0,0,0,0,28,18
714019,0,0,0,0,0,0,29,18
768308,0,0,0,0,0,0,28,19
785065,0,0,0,0,0,0,27,20
898683,0,0,0,0,0,0,26,21
977077,0,0,0,0,0,0,27,21
996104,0,0,0,0,0,0,28,21
1015055,0,0,0,0,0,0,27,22
1029525,0,0,0,0,0,0,26,23
1057527,0,0,0,0,0,0,25,24
1070705,0,0,0,0,0,0,27,24
1070742,0,0,0,0,0,0,28,24
1070743,0,0,0,0,0,0,29,24
1078190,0,0,0,0,0,0,28,25
1085610,0,0,0,0,0,0,30,25
1088036,0,0,0,0,0,0,31,25
1088037,0,0,0,0,0,0,32,25
1089801,0,0,0,0,0,0,33,25
1090064,0,0,0,0,0,0,34,25
1090067,0,0,0,0,0,0,35,25
1090799,0,0,0,0,0,0,34,26
1091516,0,0,0,0,0,0,33,27
1094822,0,0,0,0,0,0,34,27
1099193,0,0,0,0,0,0,33,28
1099261,0,0,0,0,0,0,32,29
1108307,0,0,0,0,0,0,33,29
1122029,0,0,0,0,0,0,34,29
1122645,0,0,0,0,0,0,36,29
1125316,0,0,0,0,0,0,35,30
1146205,0,0,0,0,0,0,34,31
1148546,0,0,0,0,0,0,35,31
1148547,0,0,0,0,0,0,36,31
1151950,0,0,0,0,0,0,37,31
1163074,0,0,0,0,0,0,36,32
1173713,0,0,0,0,0,0,37,32
1176018,0,0,0,0,0,0,38,32
1179128,0,0,0,0,0,0,39,32
1181518,0,0,0,0,0,0,38,33
1184080,0,0,0,0,0,0,37,34
1184261,0,0,0,0,0,0,38,34
1184265,0,0,0,0,0,0,39,34
1186580,0,0,0,0,0,0,38,35
1196785,0,0,0,0,0,0,39,35
1196788,0,0,0,0,0,0,40,35
1214088,0,0,0,0,0,0,39,36
1221987,0,0,0,0,0,0,40,36
1222004,0,0,0,0,0,0,41,36
1274174,0,0,0,0,0,0,40,37
1281443,0,0,0,0,0,0,41,37
1281444,0,0,0,0,0,0,42,37
1282384,0,0,0,0,0,0,43,37
1282399,0,0,0,0,0,0,44,37
1298973,0,0,0,0,0,0,43,38
1304507,0,0,0,0,0,0,42,39
1305672,0,0,0,0,0,0,43,39
1307066,0,0,0,0,0,0,44,39
1307455,0,0,0,0,0,0,46,39
1308950,0,0,0,0,0,0,45,40
1314625,0,0,0,0,0,0,44,41
1319234,0,0,0,0,0,0,45,41
1320324,0,0,0,0,0,0,44,42
1322235,0,0,0,0,0,0,45,42
1322761,0,0,0,0,0,0,47,42
1330834,0,0,0,0,0,0,48,42
1330843,0,0,0,0,0,0,49,42
1362294,0,0,0,0,0,0,50,42
1362333,0,0,0,0,0,0,51,42
1388103,0,0,0,0,0,0,52,42
1388150,0,0,0,0,0,0,53,42
1398513,0,0,0,0,0,0,52,43
1422424,0,0,0,0,0,0,53,43
1422899,0,0,0,0,0,0,52,44
1433897,0,0,0,0,0,0,51,45
1469048,0,0,0,0,0,0,50,46
1485472,0,0,0,0,0,0,49,47
1565365,0,0,0,0,0,0,50,47
1566328,0,0,0,0,0,0,51,47
1571362,0,0,0,0,0,0,52,47
1571375,0,0,0,0,0,0,53,47
1571742,0,0,0,0,0,0,54,47
1581042,0,0,0,0,0,0,53,48
1589969,0,0,0,0,0,0,52,49
1600196,0,0,0,0,0,0,51,50
1601152,0,0,0,0,0,0,50,51
1609683,0,0,0,0,0,0,49,52
1610864,0,0,0,0,0,0,50,52
1610875,0,0,0,0,0,0,51,52
1630983,0,0,0,0,0,0,52,52
1630997,0,0,0,0,0,0,53,52
1631317,0,0,0,0,0,0,53,52
1631322,0,0,0,0,0,0,53,52
1647890,0,0,0,0,0,0,53,52
1651211,0,0,0,0,0,0,53,52
1664217,0,0,0,0,0,0,54,52
1664218,0,0,0,0,0,0,55,52
1667778,0,0,0,0,0,0,56,52
1667783,0,0,0,0,0,0,57,52
1668108,0,0,0,0,0,0,57,53
1679609,0,0,0,0,0,0,56,54
1687101,0,0,0,0,0,0,56,54
1687106,0,0,0,0,0,0,56,54
1687141,0,0,0,0,0,0,56,55
1687683,0,0,0,0,0,0,56,56
1695296,0,0,0,0,0,0,56,56
1696457,0,0,0,0,0,0,57,56
1711408,0,0,0,0,0,0,56,57
