time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2603599,1,1,266564,266564,2603599,2337035,2337035,2337035,0,0,0
3473655,57,1,2717244,2717244,3473655,756411,756411,756411,0,0,0
3552201,117,1,3551397,3551397,3552201,804,804,804,0,0,0
3565365,124,1,3564757,3564757,3565365,608,608,608,0,0,0
3565623,126,1,3564927,3564927,3565623,696,696,696,0,0,0
3567641,133,1,3567044,3567044,3567641,597,597,597,0,0,0
3572822,125,1,3564766,3564766,3572822,8056,8056,8056,0,0,0
3573017,142,1,3571105,3571105,3573017,1912,1912,1912,0,0,0
3575341,141,1,3570115,3570115,3575341,5226,5226,5226,0,0,0
3575658,151,1,3574908,3574908,3575658,750,750,750,0,0,0
3576531,122,1,3561873,3561873,3576531,14658,14658,14658,0,0,0
3578165,159,1,3577410,3577410,3578165,755,755,755,0,0,0
3579142,132,1,3567039,3567039,3579142,12103,12103,12103,0,0,0
3580145,157,1,3576571,3576571,3580145,3574,3574,3574,0,0,0
3581475,165,1,3578780,3578780,3581475,2695,2695,2695,0,0,0
3584239,160,1,3577412,3577412,3584239,6827,6827,6827,0,0,0
3584508,156,1,3575453,3575453,3584508,9055,9055,9055,0,0,0
3584602,162,1,3578012,3578012,3584602,6590,6590,6590,0,0,0
3587686,154,1,3575265,3575265,3587686,12421,12421,12421,0,0,0
3589456,161,1,3577496,3577496,3589456,11960,11960,11960,0,0,0
3593759,164,1,3578752,3578752,3593759,15007,15007,15007,0,0,0
3595245,153,1,3575206,3575206,3595245,20039,20039,20039,0,0,0
3599192,163,1,3578169,3578169,3599192,21023,21023,21023,0,0,0
3602446,146,1,3573828,3573828,3602446,28618,28618,28618,0,0,0
3604281,130,1,3566453,3566453,3604281,37828,37828,37828,0,0,0
3607978,177,1,3607156,3607156,3607978,822,822,822,0,0,0
3608384,131,1,3566765,3566765,3608384,41619,41619,41619,0,0,0
3610792,110,1,3525795,3525795,3610792,84997,84997,84997,0,0,0
3614844,158,1,3577076,3577076,3614844,37768,37768,37768,0,0,0
3617598,170,1,3586063,3586063,3617598,31535,31535,31535,0,0,0
3636707,169,1,3584166,3584166,3636707,52541,52541,52541,0,0,0
3638317,186,2,3626966,3626966,3638317,11351,11351,11351,0,0,0
3641211,195,1,3640288,3640288,3641211,923,923,923,0,0,0
3642563,143,1,3571167,3571167,3642563,71396,71396,71396,0,0,0
3645816,174,1,3605302,3605302,3645816,40514,40514,40514,0,0,0
3647604,212,1,3647110,3647110,3647604,494,494,494,0,0,0
3647733,202,1,3647004,3647004,3647733,729,729,729,0,0,0
3647877,233,1,3647290,3647290,3647877,587,587,587,0,0,0
3647919,238,1,3647307,3647307,3647919,612,612,612,0,0,0
3647919,247,1,3647341,3647341,3647919,578,578,578,0,0,0
3647979,223,1,3647208,3647208,3647979,771,771,771,0,0,0
3648001,232,1,3647282,3647282,3648001,719,719,719,0,0,0
