time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
3250,0,0,0,0,0,0,1,0
7200,0,0,0,0,0,0,1,0
201694,0,0,0,0,0,0,2,0
202101,0,0,0,0,0,0,2,0
202951,0,0,0,0,0,0,2,0
724670,0,0,0,0,0,0,3,0
725077,0,0,0,0,0,0,3,0
725927,0,0,0,0,0,0,3,0
945683,0,0,0,0,0,0,4,0
948933,0,0,0,0,0,0,4,0
952883,0,0,0,0,0,0,4,0
966542,0,0,0,0,0,0,5,0
969792,0,0,0,0,0,0,5,0
973742,0,0,0,0,0,0,5,0
1245115,0,0,0,0,0,0,6,0
1245337,0,0,0,0,0,0,7,0
1245348,0,0,0,0,0,0,8,0
1245386,0,0,0,0,0,0,9,0
1248365,0,0,0,0,0,0,9,0
1248587,0,0,0,0,0,0,9,0
1248598,0,0,0,0,0,0,9,0
1248636,0,0,0,0,0,0,9,0
1252315,0,0,0,0,0,0,9,0
1252537,0,0,0,0,0,0,9,0
1252548,0,0,0,0,0,0,9,0
1252586,0,0,0,0,0,0,9,0
1429823,0,0,0,0,0,0,10,0
1430230,0,0,0,0,0,0,10,0
1431080,0,0,0,0,0,0,10,0
1639747,0,0,0,0,0,0,11,0
1642997,0,0,0,0,0,0,11,0
1646947,0,0,0,0,0,0,11,0
1714609,0,0,0,0,0,0,12,0
1717859,0,0,0,0,0,0,12,0
1721809,0,0,0,0,0,0,12,0
1943248,0,0,0,0,0,0,13,0
1943781,0,0,0,0,0,0,14,0
1943786,0,0,0,0,0,0,15,0
1943792,0,0,0,0,0,0,16,0
1943802,0,0,0,0,0,0,17,0
1943808,0,0,0,0,0,0,18,0
1943813,0,0,0,0,0,0,19,0
1943819,0,0,0,0,0,0,20,0
1943835,0,0,0,0,0,0,21,0
1943846,0,0,0,0,0,0,22,0
1943851,0,0,0,0,0,0,23,0
1943861,0,0,0,0,0,0,24,0
1943873,0,0,0,0,0,0,25,0
1943885,0,0,0,0,0,0,26,0
1943901,0,0,0,0,0,0,27,0
1943907,0,0,0,0,0,0,28,0
1943923,0,0,0,0,0,0,29,0
1943927,0,0,0,0,0,0,30,0
1943932,0,0,0,0,0,0,31,0
1943937,0,0,0,0,0,0,32,0
1943942,0,0,0,0,0,0,33,0
1943947,0,0,0,0,0,0,34,0
1943953,0,0,0,0,0,0,35,0
1943959,0,0,0,0,0,0,36,0
1943965,0,0,0,0,0,0,37,0
1943971,0,0,0,0,0,0,38,0
1945158,0,0,0,0,0,0,39,0
