time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
303,0,0,0,0,0,0,2,0
328,0,0,0,0,0,0,3,0
3250,0,0,0,0,0,0,3,0
3553,0,0,0,0,0,0,3,0
3578,0,0,0,0,0,0,3,0
7200,0,0,0,0,0,0,3,0
7503,0,0,0,0,0,0,3,0
7528,0,0,0,0,0,0,3,0
103680,0,0,0,0,0,0,4,0
103686,0,0,0,0,0,0,5,0
106930,0,0,0,0,0,0,5,0
106936,0,0,0,0,0,0,5,0
110880,0,0,0,0,0,0,5,0
110886,0,0,0,0,0,0,5,0
189282,0,0,0,0,0,0,6,0
192532,0,0,0,0,0,0,6,0
196482,0,0,0,0,0,0,6,0
198471,0,0,0,0,0,0,8,0
201721,0,0,0,0,0,0,8,0
205455,0,0,0,0,0,0,9,0
205671,0,0,0,0,0,0,9,0
208705,0,0,0,0,0,0,9,0
212655,0,0,0,0,0,0,9,0
274883,0,0,0,0,0,0,10,0
278133,0,0,0,0,0,0,10,0
282083,0,0,0,0,0,0,10,0
380602,0,0,0,0,0,0,11,0
380626,0,0,0,0,0,0,12,0
383852,0,0,0,0,0,0,12,0
383876,0,0,0,0,0,0,12,0
387802,0,0,0,0,0,0,12,0
387826,0,0,0,0,0,0,12,0
482808,0,0,0,0,0,0,13,0
482809,0,0,0,0,0,0,14,0
486058,0,0,0,0,0,0,14,0
486059,0,0,0,0,0,0,14,0
486181,0,0,0,0,0,0,15,0
486183,0,0,0,0,0,0,16,0
486268,0,0,0,0,0,0,17,0
486397,0,0,0,0,0,0,18,0
489431,0,0,0,0,0,0,18,0
489433,0,0,0,0,0,0,18,0
489518,0,0,0,0,0,0,18,0
489647,0,0,0,0,0,0,18,0
490008,0,0,0,0,0,0,18,0
490009,0,0,0,0,0,0,18,0
493381,0,0,0,0,0,0,18,0
493383,0,0,0,0,0,0,18,0
493468,0,0,0,0,0,0,18,0
493597,0,0,0,0,0,0,18,0
497648,0,0,0,0,0,0,19,0
500898,0,0,0,0,0,0,19,0
504848,0,0,0,0,0,0,19,0
542673,0,0,0,0,0,0,20,0
545923,0,0,0,0,0,0,20,0
549873,0,0,0,0,0,0,20,0
618920,0,0,0,0,0,0,19,1
659108,0,0,0,0,0,0,20,1
659244,0,0,0,0,0,0,21,1
659689,0,0,0,0,0,0,22,1
660391,0,0,0,0,0,0,22,1
661905,0,0,0,0,0,0,22,1
662358,0,0,0,0,0,0,22,1
662939,0,0,0,0,0,0,22,1
666277,0,0,0,0,0,0,23,1
666308,0,0,0,0,0,0,23,1
666711,0,0,0,0,0,0,23,1
666889,0,0,0,0,0,0,23,1
667713,0,0,0,0,0,0,23,1
677527,0,0,0,0,0,0,24,1
677552,0,0,0,0,0,0,25,1
678359,0,0,0,0,0,0,25,1
678970,0,0,0,0,0,0,25,1
678979,0,0,0,0,0,0,24,2
680423,0,0,0,0,0,0,24,2
681808,0,0,0,0,0,0,25,2
681903,0,0,0,0,0,0,26,2
681960,0,0,0,0,0,0,27,2
682053,0,0,0,0,0,0,28,2
685058,0,0,0,0,0,0,28,2
685153,0,0,0,0,0,0,28,2
685210,0,0,0,0,0,0,28,2
685303,0,0,0,0,0,0,28,2
685458,0,0,0,0,0,0,29,2
686271,0,0,0,0,0,0,29,2
686451,0,0,0,0,0,0,28,3
689008,0,0,0,0,0,0,28,3
689103,0,0,0,0,0,0,28,3
689160,0,0,0,0,0,0,28,3
689253,0,0,0,0,0,0,28,3
689538,0,0,0,0,0,0,27,4
691498,0,0,0,0,0,0,28,4
691530,0,0,0,0,0,0,29,4
691532,0,0,0,0,0,0,30,4
691934,0,0,0,0,0,0,30,4
692290,0,0,0,0,0,0,30,4
693091,0,0,0,0,0,0,30,4
698186,0,0,0,0,0,0,31,4
698322,0,0,0,0,0,0,32,4
698355,0,0,0,0,0,0,33,4
699126,0,0,0,0,0,0,33,4
699280,0,0,0,0,0,0,34,4
699991,0,0,0,0,0,0,35,4
700542,0,0,0,0,0,0,36,4
700736,0,0,0,0,0,0,37,4
701572,0,0,0,0,0,0,37,4
701605,0,0,0,0,0,0,37,4
702387,0,0,0,0,0,0,38,4
702530,0,0,0,0,0,0,38,4
703043,0,0,0,0,0,0,37,5
703241,0,0,0,0,0,0,37,5
703792,0,0,0,0,0,0,37,5
703986,0,0,0,0,0,0,37,5
705522,0,0,0,0,0,0,37,5
705555,0,0,0,0,0,0,37,5
706442,0,0,0,0,0,0,36,6
706480,0,0,0,0,0,0,36,6
707191,0,0,0,0,0,0,36,6
707298,0,0,0,0,0,0,37,6
707742,0,0,0,0,0,0,37,6
707936,0,0,0,0,0,0,37,6
710548,0,0,0,0,0,0,37,6
710902,0,0,0,0,0,0,36,7
714498,0,0,0,0,0,0,36,7
722516,0,0,0,0,0,0,35,8
731609,0,0,0,0,0,0,36,8
734387,0,0,0,0,0,0,37,8
734794,0,0,0,0,0,0,37,8
734859,0,0,0,0,0,0,37,8
735700,0,0,0,0,0,0,37,8
737715,0,0,0,0,0,0,38,8
738809,0,0,0,0,0,0,38,8
740965,0,0,0,0,0,0,38,8
743231,0,0,0,0,0,0,39,8
744915,0,0,0,0,0,0,39,8
746173,0,0,0,0,0,0,38,9
746481,0,0,0,0,0,0,38,9
750431,0,0,0,0,0,0,38,9
752051,0,0,0,0,0,0,39,9
752864,0,0,0,0,0,0,39,9
